idx,clean_pred,true_label,new_pred,outcome,best_upper_margin,elapsed_s,pixels_changed,total_bit_flips,avg_hamming_per_pixel,patch_rows,patch_cols,note
28,0,0,,No counterexample,-0.875000,1.159,0,0,0.000000,21-22,6-7,no_counterexample_within_budgets
29,1,1,,No counterexample,22.578125,304.542,0,0,0.000000,17-17,8-9,no_counterexample_within_budgets
30,3,3,,No counterexample,-0.296875,1.052,0,0,0.000000,7-8,23-24,no_counterexample_within_budgets
31,1,1,,No counterexample,-1.218750,0.857,0,0,0.000000,17-18,17-17,no_counterexample_within_budgets
32,3,3,,No counterexample,2.171875,125.909,0,0,0.000000,8-8,23-24,no_counterexample_within_budgets
33,6,4,4,Counterexample,-1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.000000,0.564,1,4,4.000000,11-12,15-16,witness_found_greedy_byte
34,7,7,,No counterexample,20.562500,200.011,0,0,0.000000,9-9,24-25,no_counterexample_within_budgets
35,2,2,,No counterexample,18.750000,253.616,0,0,0.000000,10-11,14-14,no_counterexample_within_budgets
36,7,7,,No counterexample,6.406250,74.569,0,0,0.000000,9-10,24-24,no_counterexample_within_budgets
37,1,1,,No counterexample,-0.937500,0.996,0,0,0.000000,10-10,13-14,no_counterexample_within_budgets
38,2,2,,No counterexample,8.406250,529.865,0,0,0.000000,17-18,11-11,no_counterexample_within_budgets
39,1,1,,No counterexample,-1.000000,1.129,0,0,0.000000,10-11,8-9,no_counterexample_within_budgets
40,1,1,,No counterexample,5.812500,47.823,0,0,0.000000,12-12,21-22,no_counterexample_within_budgets
41,7,7,,No counterexample,3.968750,22.834,0,0,0.000000,18-19,4-5,no_counterexample_within_budgets
42,4,4,,No counterexample,0.000000,1.144,0,0,0.000000,11-11,5-6,no_counterexample_within_budgets
43,2,2,,No counterexample,-0.625000,1.125,0,0,0.000000,17-18,10-11,no_counterexample_within_budgets
44,3,3,,No counterexample,9.296875,433.398,0,0,0.000000,17-17,9-10,no_counterexample_within_budgets
45,5,5,,No counterexample,12.328125,534.831,0,0,0.000000,12-12,21-22,no_counterexample_within_budgets
46,1,1,3,Counterexample,-1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.000000,0.513,1,4,4.000000,11-12,14-14,witness_found_greedy_byte
47,2,2,,No counterexample,10.250000,402.017,0,0,0.000000,7-8,24-24,no_counterexample_within_budgets
48,4,4,,No counterexample,-0.875000,0.862,0,0,0.000000,7-7,1-2,no_counterexample_within_budgets
49,4,4,,No counterexample,3.000000,16.130,0,0,0.000000,10-11,14-14,no_counterexample_within_budgets
50,6,6,,No counterexample,4.750000,68.939,0,0,0.000000,9-10,24-25,no_counterexample_within_budgets
51,3,3,,No counterexample,66.703125,246.470,0,0,0.000000,18-18,11-12,no_counterexample_within_budgets
52,5,5,,No counterexample,0.500000,4.252,0,0,0.000000,17-17,13-14,no_counterexample_within_budgets
53,5,5,,No counterexample,2.218750,39.844,0,0,0.000000,6-7,15-16,no_counterexample_within_budgets
54,6,6,2,Counterexample,-1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.000000,0.596,1,3,3.000000,3-3,13-14,witness_found_greedy_byte
55,0,0,,No counterexample,29.625000,499.289,0,0,0.000000,11-12,15-15,no_counterexample_within_budgets
56,4,4,,No counterexample,-1.375000,1.167,0,0,0.000000,9-10,14-15,no_counterexample_within_budgets
57,1,1,,No counterexample,-1.875000,1.017,0,0,0.000000,12-12,21-22,no_counterexample_within_budgets
58,9,9,,No counterexample,4.500000,53.091,0,0,0.000000,11-11,12-13,no_counterexample_within_budgets
59,5,5,,No counterexample,0.000000,0.926,0,0,0.000000,18-18,10-11,no_counterexample_within_budgets
60,7,7,,No counterexample,-2.000000,1.012,0,0,0.000000,9-10,24-24,no_counterexample_within_budgets
61,8,8,,No counterexample,-1.265625,0.876,0,0,0.000000,1-1,19-20,no_counterexample_within_budgets
62,9,9,4,Counterexample,-1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.000000,0.558,1,3,3.000000,12-13,12-12,witness_found_greedy_byte
63,2,3,3,Counterexample,-1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.000000,0.577,1,4,4.000000,9-9,24-25,witness_found_greedy_byte
64,7,7,,No counterexample,-1.718750,0.979,0,0,0.000000,9-10,24-25,no_counterexample_within_budgets
65,4,4,,No counterexample,18.109375,367.292,0,0,0.000000,12-13,11-12,no_counterexample_within_budgets
66,6,6,2,Counterexample,-1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.000000,0.571,1,4,4.000000,20-21,11-12,witness_found_greedy_byte
67,4,4,,No counterexample,5.625000,79.397,0,0,0.000000,6-6,14-15,no_counterexample_within_budgets
68,3,3,,No counterexample,37.281250,272.862,0,0,0.000000,12-13,22-22,no_counterexample_within_budgets
69,0,0,,No counterexample,16.125000,318.430,0,0,0.000000,11-11,13-14,no_counterexample_within_budgets
70,7,7,,No counterexample,-3.625000,0.693,0,0,0.000000,12-12,7-8,no_counterexample_within_budgets
71,0,0,,No counterexample,49.000000,349.880,0,0,0.000000,10-10,14-15,no_counterexample_within_budgets
72,2,2,,No counterexample,17.750000,420.728,0,0,0.000000,9-9,16-17,no_counterexample_within_budgets
73,9,9,7,Counterexample,-1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.000000,0.562,1,2,2.000000,3-3,14-15,witness_found_greedy_byte
74,1,1,,No counterexample,-2.000000,0.843,0,0,0.000000,23-23,20-21,no_counterexample_within_budgets
75,7,7,,No counterexample,20.906250,150.797,0,0,0.000000,12-13,20-21,no_counterexample_within_budgets
76,3,3,,No counterexample,11.265625,324.003,0,0,0.000000,17-18,9-10,no_counterexample_within_budgets
77,2,2,7,Counterexample,-1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.000000,0.562,1,4,4.000000,11-12,9-10,witness_found_greedy_byte
78,9,9,8,Counterexample,-1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.000000,0.556,1,4,4.000000,19-19,9-10,witness_found_greedy_byte
79,7,7,,No counterexample,18.000000,254.269,0,0,0.000000,26-26,17-18,no_counterexample_within_budgets
80,7,7,,No counterexample,11.406250,501.781,0,0,0.000000,9-10,24-24,no_counterexample_within_budgets
81,6,6,,No counterexample,7.484375,353.793,0,0,0.000000,11-11,17-18,no_counterexample_within_budgets
82,2,2,,No counterexample,-7.125000,1.162,0,0,0.000000,9-9,14-15,no_counterexample_within_budgets
83,7,7,,No counterexample,2.375000,114.516,0,0,0.000000,7-7,23-24,no_counterexample_within_budgets
84,8,8,,No counterexample,3.296875,48.078,0,0,0.000000,13-13,11-12,no_counterexample_within_budgets
85,4,4,,No counterexample,-2.687500,1.052,0,0,0.000000,8-9,24-24,no_counterexample_within_budgets
86,7,7,,No counterexample,12.500000,137.969,0,0,0.000000,21-21,11-12,no_counterexample_within_budgets
87,3,3,5,Counterexample,-1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.000000,0.596,1,4,4.000000,25-26,15-15,witness_found_greedy_byte
88,6,6,,No counterexample,-1.875000,1.066,0,0,0.000000,14-14,13-14,no_counterexample_within_budgets
89,1,1,,No counterexample,27.375000,176.522,0,0,0.000000,11-11,14-15,no_counterexample_within_budgets
90,3,3,,No counterexample,-4.296875,1.100,0,0,0.000000,13-14,7-7,no_counterexample_within_budgets
91,6,6,,No counterexample,-4.906250,1.155,0,0,0.000000,5-6,10-11,no_counterexample_within_budgets
92,9,9,4,Counterexample,-1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.000000,0.615,1,4,4.000000,13-14,11-12,witness_found_greedy_byte
93,3,3,,No counterexample,-4.562500,1.095,0,0,0.000000,13-13,6-7,no_counterexample_within_budgets
94,1,1,,No counterexample,12.750000,324.441,0,0,0.000000,17-17,9-10,no_counterexample_within_budgets
95,4,4,,No counterexample,-0.250000,0.769,0,0,0.000000,16-17,17-17,no_counterexample_within_budgets
96,1,1,,No counterexample,5.140625,196.296,0,0,0.000000,12-13,14-14,no_counterexample_within_budgets
97,7,7,,No counterexample,22.375000,411.192,0,0,0.000000,10-11,14-15,no_counterexample_within_budgets
98,6,6,,No counterexample,-4.125000,1.152,0,0,0.000000,9-9,24-25,no_counterexample_within_budgets
99,9,9,,No counterexample,36.500000,121.983,0,0,0.000000,12-13,7-8,no_counterexample_within_budgets
100,6,6,,No counterexample,-0.312500,1.079,0,0,0.000000,9-10,15-15,no_counterexample_within_budgets
101,0,0,,No counterexample,6.937500,60.475,0,0,0.000000,6-6,23-24,no_counterexample_within_budgets
102,5,5,,No counterexample,11.781250,48.705,0,0,0.000000,25-26,17-18,no_counterexample_within_budgets
103,4,4,,No counterexample,-6.500000,1.191,0,0,0.000000,5-5,11-12,no_counterexample_within_budgets
104,9,9,,No counterexample,15.375000,291.592,0,0,0.000000,23-24,26-27,no_counterexample_within_budgets
105,9,9,,No counterexample,-0.250000,1.064,0,0,0.000000,12-13,9-10,no_counterexample_within_budgets
106,2,2,,No counterexample,-3.078125,1.025,0,0,0.000000,17-18,9-10,no_counterexample_within_budgets
107,1,1,,No counterexample,2.000000,283.297,0,0,0.000000,8-9,23-24,no_counterexample_within_budgets
108,9,9,4,Counterexample,-1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.000000,0.571,2,4,2.000000,15-16,14-14,witness_found_greedy_byte
109,4,4,,No counterexample,5.625000,277.614,0,0,0.000000,9-10,14-15,no_counterexample_within_budgets
110,8,8,,No counterexample,5.718750,71.524,0,0,0.000000,21-22,18-18,no_counterexample_within_budgets
111,1,7,7,Counterexample,-1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.000000,0.573,1,4,4.000000,11-12,22-22,witness_found_greedy_byte
112,3,3,,No counterexample,9.937500,454.060,0,0,0.000000,18-18,10-11,no_counterexample_within_budgets
113,9,9,,No counterexample,-0.500000,1.065,0,0,0.000000,11-12,12-12,no_counterexample_within_budgets
114,7,7,,No counterexample,1.250000,109.286,0,0,0.000000,18-18,8-9,no_counterexample_within_budgets
115,4,4,,No counterexample,0.000000,0.978,0,0,0.000000,22-22,8-9,no_counterexample_within_budgets
116,4,4,,No counterexample,2.812500,316.063,0,0,0.000000,9-10,14-15,no_counterexample_within_budgets
117,4,4,,No counterexample,-3.500000,1.068,0,0,0.000000,21-21,6-7,no_counterexample_within_budgets
118,9,9,,No counterexample,2.937500,188.838,0,0,0.000000,17-17,5-6,no_counterexample_within_budgets
119,2,2,,No counterexample,5.937500,466.070,0,0,0.000000,9-9,23-24,no_counterexample_within_budgets
120,3,5,5,Counterexample,-1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.000000,0.772,2,2,1.000000,7-7,23-24,witness_found_greedy_bit
121,4,4,8,Counterexample,-1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.000000,0.521,1,4,4.000000,21-22,6-7,witness_found_greedy_byte
122,7,7,,No counterexample,8.812500,114.619,0,0,0.000000,9-10,24-24,no_counterexample_within_budgets
123,6,6,,No counterexample,5.312500,53.796,0,0,0.000000,20-21,7-8,no_counterexample_within_budgets
124,9,7,4,Counterexample,-1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.000000,0.560,1,3,3.000000,5-6,22-23,witness_found_greedy_byte
125,9,9,7,Counterexample,-1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.000000,0.574,1,4,4.000000,22-23,5-5,witness_found_greedy_byte
126,0,0,3,Counterexample,-1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.000000,0.580,1,4,4.000000,15-16,13-14,witness_found_greedy_byte
127,5,5,,No counterexample,0.375000,14.796,0,0,0.000000,3-3,13-14,no_counterexample_within_budgets
128,8,8,,No counterexample,-5.312500,0.706,0,0,0.000000,17-17,11-12,no_counterexample_within_budgets
129,5,5,,No counterexample,8.531250,156.408,0,0,0.000000,9-9,14-15,no_counterexample_within_budgets
130,6,6,,No counterexample,-2.750000,1.121,0,0,0.000000,11-12,15-15,no_counterexample_within_budgets
131,6,6,,No counterexample,-6.187500,1.102,0,0,0.000000,2-3,10-10,no_counterexample_within_budgets
132,5,5,,No counterexample,31.781250,465.916,0,0,0.000000,3-3,12-13,no_counterexample_within_budgets
133,2,7,,No counterexample,10.000000,342.693,0,0,0.000000,7-7,23-24,no_counterexample_within_budgets
134,8,8,,No counterexample,20.515625,369.253,0,0,0.000000,7-8,24-24,no_counterexample_within_budgets
135,1,1,,No counterexample,4.500000,107.505,0,0,0.000000,11-12,14-14,no_counterexample_within_budgets
136,0,0,,No counterexample,-0.875000,0.945,0,0,0.000000,11-12,13-14,no_counterexample_within_budgets
137,1,1,,No counterexample,0.062500,4.077,0,0,0.000000,11-12,14-15,no_counterexample_within_budgets
138,6,6,,No counterexample,-2.000000,0.851,0,0,0.000000,18-19,23-24,no_counterexample_within_budgets
139,8,4,4,Counterexample,-1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.000000,0.530,1,4,4.000000,14-14,10-11,witness_found_greedy_byte
140,6,6,,No counterexample,-1.640625,0.829,0,0,0.000000,9-10,24-24,no_counterexample_within_budgets
141,7,7,,No counterexample,-0.250000,0.917,0,0,0.000000,12-13,15-15,no_counterexample_within_budgets
142,3,3,,No counterexample,-2.546875,1.063,0,0,0.000000,18-18,12-13,no_counterexample_within_budgets
143,1,1,,No counterexample,-2.843750,0.790,0,0,0.000000,11-11,14-15,no_counterexample_within_budgets
144,7,7,,No counterexample,5.125000,121.874,0,0,0.000000,13-14,5-5,no_counterexample_within_budgets
145,1,1,,No counterexample,20.468750,116.322,0,0,0.000000,18-19,4-5,no_counterexample_within_budgets
146,8,8,,No counterexample,-1.109375,0.795,0,0,0.000000,17-17,10-11,no_counterexample_within_budgets
147,2,2,,No counterexample,-4.625000,1.186,0,0,0.000000,9-10,15-15,no_counterexample_within_budgets
148,0,0,,No counterexample,5.000000,42.885,0,0,0.000000,14-15,14-15,no_counterexample_within_budgets
149,4,2,9,Counterexample,-1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.000000,0.580,1,4,4.000000,6-7,16-17,witness_found_greedy_byte
150,9,9,4,Counterexample,-1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.000000,0.616,1,4,4.000000,19-20,11-11,witness_found_greedy_byte
151,9,9,8,Counterexample,-1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.000000,0.584,1,3,3.000000,19-20,12-12,witness_found_greedy_byte
152,5,5,,No counterexample,4.687500,154.668,0,0,0.000000,17-18,12-13,no_counterexample_within_budgets
153,3,5,5,Counterexample,-1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.000000,0.561,1,4,4.000000,12-13,6-6,witness_found_greedy_byte
154,1,1,,No counterexample,2.718750,169.883,0,0,0.000000,12-13,21-22,no_counterexample_within_budgets
155,5,5,,No counterexample,6.656250,73.878,0,0,0.000000,20-21,6-6,no_counterexample_within_budgets
156,6,6,,No counterexample,20.375000,74.925,0,0,0.000000,10-10,9-10,no_counterexample_within_budgets
157,0,0,,No counterexample,3.687500,131.473,0,0,0.000000,15-15,13-14,no_counterexample_within_budgets
158,3,3,2,Counterexample,-1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.000000,0.554,1,3,3.000000,17-18,11-12,witness_found_greedy_byte
159,4,4,,No counterexample,3.156250,107.859,0,0,0.000000,9-10,16-17,no_counterexample_within_budgets
160,4,4,,No counterexample,-2.593750,1.063,0,0,0.000000,7-7,15-16,no_counterexample_within_budgets
161,6,6,,No counterexample,-4.218750,1.161,0,0,0.000000,9-10,23-24,no_counterexample_within_budgets
162,5,5,,No counterexample,29.156250,440.982,0,0,0.000000,17-17,12-13,no_counterexample_within_budgets
163,4,4,,No counterexample,-0.359375,0.852,0,0,0.000000,4-5,12-13,no_counterexample_within_budgets
164,6,6,,No counterexample,11.171875,311.571,0,0,0.000000,8-8,4-5,no_counterexample_within_budgets
165,5,5,3,Counterexample,-1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.000000,0.568,1,4,4.000000,23-23,13-14,witness_found_greedy_byte
166,4,4,,No counterexample,0.500000,4.114,0,0,0.000000,9-9,14-15,no_counterexample_within_budgets
167,5,5,,No counterexample,4.375000,274.714,0,0,0.000000,19-20,11-12,no_counterexample_within_budgets
168,1,1,,No counterexample,-5.000000,1.122,0,0,0.000000,19-19,3-4,no_counterexample_within_budgets
169,4,4,,No counterexample,-0.375000,0.973,0,0,0.000000,9-9,14-15,no_counterexample_within_budgets
170,4,4,,No counterexample,0.765625,3.010,0,0,0.000000,6-6,15-16,no_counterexample_within_budgets
171,7,7,,No counterexample,-0.250000,0.893,0,0,0.000000,3-3,13-14,no_counterexample_within_budgets
172,3,2,,No counterexample,0.000000,1.225,0,0,0.000000,2-2,10-11,no_counterexample_within_budgets
173,3,3,,No counterexample,9.015625,464.397,0,0,0.000000,13-13,22-23,no_counterexample_within_budgets
174,2,2,,No counterexample,-0.250000,1.063,0,0,0.000000,10-10,9-10,no_counterexample_within_budgets
175,7,7,,No counterexample,6.625000,253.419,0,0,0.000000,19-20,6-7,no_counterexample_within_budgets
176,1,1,,No counterexample,2.968750,82.825,0,0,0.000000,14-15,13-14,no_counterexample_within_budgets
177,8,8,,No counterexample,5.625000,232.947,0,0,0.000000,19-20,15-15,no_counterexample_within_budgets
178,1,1,,No counterexample,-1.593750,1.029,0,0,0.000000,11-11,14-15,no_counterexample_within_budgets
179,8,8,,No counterexample,-1.671875,1.169,0,0,0.000000,18-18,10-11,no_counterexample_within_budgets
180,1,1,,No counterexample,-2.187500,1.018,0,0,0.000000,15-16,17-17,no_counterexample_within_budgets
181,8,8,,No counterexample,1.578125,4.211,0,0,0.000000,11-12,13-13,no_counterexample_within_budgets
182,5,5,,No counterexample,2.875000,381.461,0,0,0.000000,17-18,12-12,no_counterexample_within_budgets
183,0,0,,No counterexample,12.000000,220.294,0,0,0.000000,15-15,13-14,no_counterexample_within_budgets
184,8,8,,No counterexample,-0.046875,1.085,0,0,0.000000,4-5,23-23,no_counterexample_within_budgets
185,9,9,4,Counterexample,-1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.000000,0.563,1,3,3.000000,12-13,11-11,witness_found_greedy_byte
186,2,2,,No counterexample,20.500000,343.190,0,0,0.000000,0-0,3-4,no_counterexample_within_budgets
187,3,5,,No counterexample,21.312500,494.749,0,0,0.000000,12-13,22-23,no_counterexample_within_budgets
188,0,0,,No counterexample,5.500000,14.104,0,0,0.000000,25-26,17-18,no_counterexample_within_budgets
189,1,1,,No counterexample,-0.750000,1.115,0,0,0.000000,19-20,6-6,no_counterexample_within_budgets
190,1,1,,No counterexample,1.125000,27.686,0,0,0.000000,12-12,21-22,no_counterexample_within_budgets
191,1,1,,No counterexample,4.406250,132.285,0,0,0.000000,14-14,14-15,no_counterexample_within_budgets
192,0,0,,No counterexample,-0.250000,1.123,0,0,0.000000,10-11,14-14,no_counterexample_within_budgets
193,4,9,9,Counterexample,-1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.000000,0.548,1,4,4.000000,17-18,10-10,witness_found_greedy_byte
194,0,0,5,Counterexample,2.531250,1.494,2,4,2.000000,15-16,13-14,witness_found_bab
195,8,3,3,Counterexample,-1000000000000000052504760255204420248704468581108159154915854115511802457988908195786371375080447864043704443832883878176942523235360430575644792184786706982848387200926575803737830233794788090059368953234970799945081119038967640880074652742780142494579258788820056842838115669472196386865459400540160.000000,0.566,1,4,4.000000,25-25,8-9,witness_found_greedy_byte
196,1,1,,No counterexample,2.656250,83.441,0,0,0.000000,11-12,14-14,no_counterexample_within_budgets
197,6,6,,No counterexample,4.062500,20.174,0,0,0.000000,9-10,16-17,no_counterexample_within_budgets
198,4,4,9,Counterexample,0.781250,1.785,2,3,1.500000,9-9,14-15,witness_found_bab
199,2,2,,No counterexample,-3.375000,0.857,0,0,0.000000,18-19,11-12,no_counterexample_within_budgets
200,3,3,,No counterexample,12.000000,179.348,0,0,0.000000,11-12,12-13,no_counterexample_within_budgets
201,6,6,,No counterexample,1.250000,40.172,0,0,0.000000,8-9,23-24,no_counterexample_within_budgets
202,1,1,,No counterexample,-1.500000,0.795,0,0,0.000000,11-12,15-15,no_counterexample_within_budgets
203,1,1,,No counterexample,-3.140625,0.928,0,0,0.000000,8-9,9-10,no_counterexample_within_budgets
204,1,1,,No counterexample,-0.343750,0.927,0,0,0.000000,11-12,15-15,no_counterexample_within_budgets
205,3,3,,No counterexample,-1.828125,1.049,0,0,0.000000,18-18,10-11,no_counterexample_within_budgets
